,review_title,review_positive_comments,review_negative_comments,rating,date,name,hotel_url
0,Xuất sắc,"sạch , tiện , chu đáo
nhân viên dễ thương
mọi thứ đều tuyệt vời",,10,tháng 5/2022,Nguyendinhkhoa,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
1,Xuất sắc,"Phòng sạch sẽ, phục vụ nhiệt tình dễ thương","Bạn đầu đặt phòng cặp đôi có cửa sổ,(chúng tôi thích không khí tự nhiên), nhưng đến thì nhân viên báo là hết phòng chưa kịp cập nhật trên booking. Và backup sang một phòng gia đình lớn hơn. Phòng cũng tốt nhưng không có cửa sổ và nằm dưới thấp. Chúng tôi không thích điều này lắm","8,0",tháng 3/2023,Nguyen,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2,Xuất sắc,Chất lượng phục vụ 10/10,,"9,0",tháng 3/2023,Tera,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3,Xuất sắc,"Khách sạn ở đây rất tốt, lần đầu tiên đi du lịch với người yêu cảm giác rất hài lòng từ lễ tân đến nhân viên buồng phòng ở khách sạn này phải nói là trên cả tuyệt vời, một kỳ nghỉ đáng nhớ và tốt đẹp tại nơi đây. Giá thành hợp lý, sẽ ghé nếu có dịp đi lần sau",,10,tháng 1/2023,Thuc,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4,Xuất sắc,"Phòng sạch sẽ. Nhân viên chu đáo, nhiệt tình. Giá cả hợp lý",,10,tháng 1/2023,Mai,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5,Xuất sắc,"Bạn lễ tân dễ thương xỉuuu, phòng oki lắm ạ, lần sau có dịp mình sẽ ghé lại 🫶",,10,tháng 3/2023,Nguyên,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
6,Xuất sắc,"sạch sẽ, tiện nghi, giá hợp lý, nhân viên nhiệt tình",cách sắp xếp nội thất trong phòng hơi kì kì,10,tháng 3/2023,Ái,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
7,Xuất sắc,"Phòng óc sạch sẽ, nhân viên nhiệt tình vui vẻ",,10,tháng 3/2023,Trung,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
8,Xuất sắc,"sạch sẽ, mát mẻ, phục vụ chu đáo",,"9,0",tháng 3/2023,Jolie,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9,Xuất sắc,"Gần trung tâm, cảnh đẹp, gần Hồ Xuân Hương",không,10,tháng 3/2023,Thuy,https://www.booking.com/hotel/vn/raon-valley-villa.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
